date,open,high,low,close,volume,category,company_name
14-04-2020,269,273.07,267.0001,270.5,4772207,Healthcare,UnitedHealth Group
13-04-2020,262.06,264.96,258.18,263.51,2964686,Healthcare,UnitedHealth Group
09-04-2020,265,270.4,261.6,264.13,4922000,Healthcare,UnitedHealth Group
08-04-2020,247.69,269.16,246.26,267.83,6385882,Healthcare,UnitedHealth Group
07-04-2020,259.81,266.71,246.54,248.04,4982587,Healthcare,UnitedHealth Group
06-04-2020,240,249.29,235.12,248.34,6365311,Healthcare,UnitedHealth Group
03-04-2020,238.32,239.337,227.27,229.49,4649266,Healthcare,UnitedHealth Group
02-04-2020,235.3,242,226.03,240.44,4336650,Healthcare,UnitedHealth Group
01-04-2020,238.69,246.605,235.44,237.32,4546746,Healthcare,UnitedHealth Group
24-04-2020,2417,2420.43,2382,2410.22,3798745,E-commerce,Amazon
23-04-2020,2399.98,2424.22,2382.08,2399.45,5066552,E-commerce,Amazon
22-04-2020,2369,2394,2351,2363.49,4218295,E-commerce,Amazon
21-04-2020,2416.61,2428.31,2279.66,2328.12,7476679,E-commerce,Amazon
20-04-2020,2389.95,2444.98,2386.05,2393.61,5770694,E-commerce,Amazon
17-04-2020,2372.33,2400,2316.02,2375,7930010,E-commerce,Amazon
16-04-2020,2346,2461,2335,2408.19,12038201,E-commerce,Amazon
15-04-2020,2257.68,2333.37,2245,2307.68,6866567,E-commerce,Amazon
14-04-2020,2200.47,2292,2186.21,2283.32,8087193,E-commerce,Amazon
13-04-2020,2040,2180,2038,2168.87,6716709,E-commerce,Amazon
09-04-2020,2044.3,2053,2017.66,2042.76,4655617,E-commerce,Amazon
08-04-2020,2021,2044,2011.15,2043,3977313,E-commerce,Amazon
07-04-2020,2017.11,2035.72,1997.62,2011.6,5113983,E-commerce,Amazon
06-04-2020,1936,1998.52,1930.02,1997.59,5773181,E-commerce,Amazon
03-04-2020,1911.15,1926.33,1889.15,1906.59,3609870,E-commerce,Amazon
02-04-2020,1901.64,1927.53,1890,1918.83,4335985,E-commerce,Amazon
01-04-2020,1932.97,1944.96,1893,1907.7,4121875,E-commerce,Amazon
24-04-2020,38.85,39.53,38.27,39.35,16747512,E-commerce,E-Bay
23-04-2020,38.46,38.84,37.66,37.91,15276074,E-commerce,E-Bay
22-04-2020,38.15,38.48,37.92,38.25,9823860,E-commerce,E-Bay
21-04-2020,37.51,38.23,37.305,37.61,12259562,E-commerce,E-Bay
20-04-2020,37.47,38.315,37.28,37.64,12664002,E-commerce,E-Bay
17-04-2020,37.45,37.64,36.99,37.455,15513645,E-commerce,E-Bay
16-04-2020,36.53,37.37,36.29,37.22,11205781,E-commerce,E-Bay
15-04-2020,35.31,36.41,35.075,36.19,10651525,E-commerce,E-Bay
14-04-2020,35.45,35.98,35.27,35.74,14583117,E-commerce,E-Bay
13-04-2020,34.2602,35.08,33.955,34.76,13792283,E-commerce,E-Bay
09-04-2020,33.4,34.1,33.37,33.83,13558596,E-commerce,E-Bay
08-04-2020,31.85,33.08,31.8,33.01,12044505,E-commerce,E-Bay
07-04-2020,32.08,32.22,31.555,31.62,10602487,E-commerce,E-Bay
06-04-2020,30.67,31.32,30.28,31.18,14731910,E-commerce,E-Bay
03-04-2020,29.15,29.67,28.8,29.41,10869248,E-commerce,E-Bay
02-04-2020,28.32,29.41,28.3,29.19,12007125,E-commerce,E-Bay
01-04-2020,29.3552,29.75,28.475,28.78,14341767,E-commerce,E-Bay
24-04-2020,129.35,129.89,128.56,129.44,5378802,E-commerce,Walmart
23-04-2020,129.85,131.0895,127.73,128.53,9607114,E-commerce,Walmart
22-04-2020,130,132.38,128.9,131.59,6482584,E-commerce,Walmart
21-04-2020,130.07,131.03,128.16,129.21,9297850,E-commerce,Walmart
20-04-2020,132.39,133.38,129.76,129.85,8126456,E-commerce,Walmart
17-04-2020,131.48,132.97,129.725,132.12,10304035,E-commerce,Walmart
16-04-2020,129,132.92,128.25,132.33,10592346,E-commerce,Walmart
15-04-2020,129,129.88,127.12,128.76,7473419,E-commerce,Walmart
14-04-2020,127.1,129.79,126.0352,129,11354477,E-commerce,Walmart
13-04-2020,121.27,125.67,121.17,125.3,8054436,E-commerce,Walmart
09-04-2020,118.22,122.87,117.66,121.8,10942776,E-commerce,Walmart
08-04-2020,123.69,123.81,120.59,121.84,9285834,E-commerce,Walmart
07-04-2020,123.98,126.49,121.64,121.99,13785434,E-commerce,Walmart
06-04-2020,119.06,126.39,118.94,126.07,15915420,E-commerce,Walmart
03-04-2020,117.21,119.91,117.03,119.48,9538119,E-commerce,Walmart
02-04-2020,113.18,119.11,112.335,118.65,9833460,E-commerce,Walmart
01-04-2020,112.15,115.53,111.8,114.14,9409399,E-commerce,Walmart
24-04-2020,183.26,184.35,180.86,184.02,3284658,Fast Food,McDonalds
23-04-2020,186.16,187.33,181.32,182.04,5047598,Fast Food,McDonalds
22-04-2020,180.75,187.73,180.75,186.48,4243540,Fast Food,McDonalds
21-04-2020,177.37,179.39,176.1,177.58,4756259,Fast Food,McDonalds
20-04-2020,184.45,185.78,181.55,181.65,3855035,Fast Food,McDonalds
17-04-2020,182.32,186.81,180.2275,186.1,6467540,Fast Food,McDonalds
16-04-2020,177,179.91,172.27,179.5,7103874,Fast Food,McDonalds
15-04-2020,178.74,180.97,177.27,177.84,4959056,Fast Food,McDonalds
14-04-2020,183.75,184.49,181.84,183.99,3863448,Fast Food,McDonalds
13-04-2020,182.68,182.8506,176.91,180.12,3181398,Fast Food,McDonalds
09-04-2020,180.73,185.46,179.62,183.7,4900741,Fast Food,McDonalds
08-04-2020,175.01,179.42,174.1,177.49,5663338,Fast Food,McDonalds
07-04-2020,184.53,185.19,175.16,175.59,7846715,Fast Food,McDonalds
06-04-2020,169.2,177.87,168.24,177.04,8327470,Fast Food,McDonalds
03-04-2020,160.31,162.23,156.15,160.33,5049100,Fast Food,McDonalds
02-04-2020,155,161.95,155,161.5,4802968,Fast Food,McDonalds
01-04-2020,160.22,161.44,156.35,158.17,4668309,Fast Food,McDonalds
24-04-2020,75.75,76.03,74.21,75.58,8412575,Fast Food,Starbucks
23-04-2020,77.33,77.67,74.26,75.15,15513357,Fast Food,Starbucks
22-04-2020,74.55,78.06,74.43,77.45,11355290,Fast Food,Starbucks
21-04-2020,73.4,73.96,71.74,72.72,10345787,Fast Food,Starbucks
20-04-2020,76.02,76.98,75.085,75.32,9684741,Fast Food,Starbucks
17-04-2020,76.62,77.39,74.97,77.1,14268386,Fast Food,Starbucks
16-04-2020,73.11,73.76,71.345,73.51,11946812,Fast Food,Starbucks
15-04-2020,72.01,73.175,70.71,72.55,10642533,Fast Food,Starbucks
14-04-2020,73.69,74.33,72.66,73.67,10911999,Fast Food,Starbucks
13-04-2020,73.5203,73.6,70.35,71.76,11191792,Fast Food,Starbucks
09-04-2020,71.2,74.255,70.14,73.88,19769563,Fast Food,Starbucks
08-04-2020,69.58,71.92,68.5377,71.57,10417639,Fast Food,Starbucks
07-04-2020,71.5663,72.48,68.335,68.71,13799395,Fast Food,Starbucks
06-04-2020,66.27,68.34,64.41,67.79,18010771,Fast Food,Starbucks
03-04-2020,64.47,64.75,60.9,63.05,14676460,Fast Food,Starbucks
02-04-2020,65.75,68.7,62.91,65,18175040,Fast Food,Starbucks
01-04-2020,63,64.76,61.58,62.62,12880408,Fast Food,Starbucks
24-04-2020,85.78,86.4,84.23,85.89,1778815,Fast Food,Taco Bell
23-04-2020,86.68,87.335,84.55,85.61,2108911,Fast Food,Taco Bell
22-04-2020,83,87.465,82.7,86.79,2923021,Fast Food,Taco Bell
21-04-2020,80.09,81.77,79.9,81.2,2768725,Fast Food,Taco Bell
20-04-2020,82.81,84.13,81.6,82.07,1827522,Fast Food,Taco Bell
17-04-2020,83.14,84.97,82.09,84.17,3326093,Fast Food,Taco Bell
16-04-2020,77.58,80.19,76.7,80.11,2374523,Fast Food,Taco Bell
